"",WG1 H16.06.008,WG4 H16.06.009,WG4 H16.06.010,WG1 H17.06.015,Fold Change,Score
MALSU1,1.44,1.54,1.62,2.23,-0.254,-0.157
FAM221A,1.36,1.14,1.15,1.27,-0.169,-0.157
TNFRSF10B,0.912,0.854,0.842,1.16,-0.186,-0.157
SLC27A1,2.47,2.55,3.02,3.83,-0.362,-0.157
NDUFA6-AS1,2.36,2.44,2.58,3.19,-0.264,-0.157
TPR,2.44,2.44,2.55,3.03,-0.234,-0.157
FSCN1,0.786,0.544,1.09,1.42,-0.288,-0.157
ZNHIT3,1.12,0.888,1.15,1.33,-0.21,-0.157
LIMK2,2.48,2.61,2.47,3.08,-0.24,-0.157
SFXN2,0.907,1.09,0.938,1.63,-0.253,-0.157
HFM1,3.43,3.67,4.16,5.22,-0.409,-0.157
LOC105377788,2.61,1.47,1.75,1.28,-0.335,-0.157
ZC3HAV1,0.414,0.367,0.329,0.659,-0.188,-0.157
TDRD7,1.62,1.6,1.84,2.34,-0.263,-0.157
ERCC6,2.17,2.53,2.16,3.14,-0.304,-0.157
CD59,1.69,1.06,1.69,1.55,-0.242,-0.157
HAUS2,2.71,2.75,2.74,3.2,-0.212,-0.157
TBCD,4.19,4.8,4.78,6.14,-0.375,-0.157
LOC100292922,0.213,0.16,0.137,0.455,-0.186,-0.156
LOC101929544,0.572,0.161,0.353,0.347,-0.202,-0.156
BCL11B,6.08,6.97,5.9,7.69,-0.453,-0.156
SH2D4B,0.34,0.246,0.239,0.492,-0.174,-0.156
JRK,1.29,1.3,1.55,2.12,-0.276,-0.156
LHFPL4,4.45,5.04,4.95,6.27,-0.366,-0.156
LOC105371123,0.308,0.19,0.207,0.431,-0.171,-0.156
SPAG5-AS1,2.54,2.4,1.75,2.15,-0.271,-0.156
GSN,0.975,0.869,1.05,1.39,-0.222,-0.156
CLTB,2.51,2.18,2.68,2.86,-0.249,-0.156
SLC17A5,4.76,4.89,4.48,5.09,-0.237,-0.156
LOC102724566,0.469,0.419,0.231,0.553,-0.186,-0.156
ZNF254,5.93,6.01,5.96,6.48,-0.221,-0.156
LINC01554,0.646,0.428,0.46,0.576,-0.167,-0.156
LOC151484,0.567,0.78,0.556,1.29,-0.259,-0.155
NBEAL1,4.64,4.82,4.86,5.57,-0.262,-0.155
CCDC122,1.1,1.46,1.19,2.14,-0.299,-0.155
LOC285074,2.68,2.56,2.85,3.23,-0.247,-0.155
LOC105372340,0.309,0.21,0.149,0.392,-0.171,-0.155
CCDC88C,0.764,0.633,0.865,1.19,-0.227,-0.155
ATP5EP2,0.458,0.12,0.185,0.223,-0.188,-0.155
RASGEF1B,1.68,0.565,2.56,2.33,-0.444,-0.155
CASC2,3.47,3.53,3.56,4.07,-0.224,-0.155
LOC105375338,1.06,0.873,1.08,1.31,-0.205,-0.155
TBX19,0.417,0.309,0.482,0.808,-0.217,-0.155
PPM1F,1.49,1.67,1.98,2.83,-0.336,-0.155
SLC4A3,1.05,0.923,1.34,1.77,-0.278,-0.155
MXI1,2.74,2.98,2.72,3.49,-0.265,-0.155
ZNF653,0.645,0.792,0.724,1.35,-0.239,-0.154
USP2,2.5,1.87,3.06,3.14,-0.355,-0.154
SLC25A29,2.56,3.08,2.81,4.01,-0.341,-0.154
PUF60,0.876,0.494,0.865,0.873,-0.195,-0.154
IPO9,4.76,4.97,5.07,5.85,-0.284,-0.154
ACAT2,2,0.887,2.8,2.53,-0.42,-0.154
CPNE1,3.8,3.23,3.97,3.89,-0.246,-0.154
SAE1,2.09,2.28,2.29,2.99,-0.253,-0.154
TBL1Y,0.0835,0.0822,0.386,0.948,-0.282,-0.154
PC,1.48,2.16,1.45,2.91,-0.388,-0.154
ZDHHC17,5.12,5.08,4.99,5.33,-0.187,-0.154
LOC105371846,0.706,0.458,0.648,0.762,-0.181,-0.154
RALA,4.9,4.03,5.4,5.2,-0.336,-0.154
LOC105369304,0.576,0.184,0.597,0.61,-0.203,-0.154
MYO18A,1.49,1.51,2.04,2.75,-0.349,-0.154
ZNF580,1.39,1.15,1.68,2,-0.277,-0.154
SNN,1.31,0.592,1.35,1.14,-0.255,-0.154
PSMG1,1.39,1.61,1.31,2.04,-0.258,-0.154
LOC105379035,0.76,0.541,0.636,0.747,-0.165,-0.154
LOC101929268,0.98,0.767,0.926,1.08,-0.181,-0.154
KIF15,0.613,0.6,0.506,0.878,-0.193,-0.154
EHMT2,1.13,1.37,1.46,2.26,-0.286,-0.154
ILDR2,3.38,3.73,4.01,5.1,-0.37,-0.154
NEURL4,0.854,0.944,0.94,1.47,-0.221,-0.154
PKI55,0.31,0.131,0.223,0.387,-0.172,-0.154
IRAIN,0.589,0.158,0.4,0.375,-0.203,-0.153
LOC105375707,1.38,0.895,0.437,0.539,-0.294,-0.153
ANKRD20A3,0.452,0.346,0.312,0.539,-0.167,-0.153
AGO4,6.04,6,6.16,6.58,-0.229,-0.153
CISD3,0.648,0.339,0.538,0.591,-0.181,-0.153
CEP170B,1.21,1.21,1.52,2.09,-0.283,-0.153
NDUFS8,1.64,1.39,1.79,2.02,-0.239,-0.153
CTH,0.659,0.612,0.619,0.94,-0.184,-0.153
NAMA,0.432,0.353,0.488,0.83,-0.211,-0.153
LOC105375231,0.373,0.324,0.385,0.732,-0.198,-0.153
FBXO10,4.13,3.97,4.77,5.37,-0.374,-0.153
ZMYM6,3.31,3.18,3.29,3.54,-0.19,-0.153
FBXO15,0.704,0.503,0.688,0.869,-0.191,-0.153
STK11IP,0.856,0.877,1.05,1.57,-0.249,-0.153
CCDC171,5.65,5,5.88,5.75,-0.259,-0.153
SNX5,1.48,1.39,1.58,1.93,-0.22,-0.153
POLR2F,1.39,1.47,1.57,2.14,-0.244,-0.152
LOC105375704,2.08,1.49,2.16,2.03,-0.23,-0.152
SPATS2,6.03,5.96,6.52,7.11,-0.328,-0.152
RBM10,2.08,2.33,2.35,3.15,-0.27,-0.152
PTGES3,3.53,3.46,3.73,4.16,-0.25,-0.152
ADPGK-AS1,0.636,0.206,0.357,0.329,-0.201,-0.152
CRACR2A,0.691,0.533,0.577,0.744,-0.163,-0.152
LOC105371286,1.01,0.663,1.13,1.23,-0.226,-0.152
U2AF2,0.865,0.849,0.874,1.25,-0.196,-0.152
HNRNPL,2.55,2.81,3.16,4.15,-0.362,-0.152
NIPA2,2.34,1.87,2.09,2.04,-0.209,-0.152
STXBP2,0.179,0.177,0.15,0.534,-0.193,-0.152
NUPL2,3.97,4.05,3.58,4.1,-0.216,-0.152
ZDHHC22,2.55,2.78,2.81,3.57,-0.265,-0.152
ERBB4,2.97,3.66,2.57,4.02,-0.381,-0.152
MAN2B2,0.69,0.502,0.682,0.877,-0.191,-0.152
UBE2L3,2.46,2.47,3.1,3.85,-0.367,-0.152
BID,0.609,0.735,0.598,1.18,-0.227,-0.152
AP3B2,3.8,3.8,4.96,5.98,-0.509,-0.152
CWF19L1,3.16,3.47,2.68,3.54,-0.277,-0.151
LEMD3,3.58,3.64,3.72,4.24,-0.231,-0.151
LOC102606465,1.23,1.08,1.34,1.64,-0.223,-0.151
C1orf115,0.488,0.333,0.531,0.784,-0.204,-0.151
CHN1,8.12,7.84,7.87,7.93,-0.175,-0.151
SMARCAL1,2.38,2.2,2.86,3.33,-0.324,-0.151
LIN54,2.92,2.77,2.95,3.2,-0.2,-0.151
PPP1R9A,8.15,7.98,8.05,8.22,-0.167,-0.151
EIF4A3,0.781,0.574,0.849,1.06,-0.211,-0.151
CYP2G1P,0.817,1.01,0.821,1.5,-0.243,-0.151
PFDN5,1.89,1.35,1.64,1.54,-0.22,-0.151
C5orf51,0.894,0.696,0.91,1.1,-0.196,-0.151
RIMKLB,5.46,5.32,5.22,5.41,-0.167,-0.151
C3orf70,1.08,2.26,0.616,2.82,-0.512,-0.151
PPIE,0.704,0.491,0.666,0.817,-0.181,-0.151
CCDC66,5.84,5.71,5.68,5.85,-0.154,-0.151
SLC45A4,2.55,2.78,3.29,4.31,-0.392,-0.151
SNHG15,0.842,0.381,0.94,0.915,-0.218,-0.151
PIK3R1,4.67,4.6,4.63,4.92,-0.18,-0.151
ANAPC16,3.72,3.59,4.05,4.48,-0.28,-0.151
C1QTNF4,1.81,1.39,1.86,1.85,-0.206,-0.151
RPL27A,1.6,0.753,1.51,1.21,-0.272,-0.151
RBM19,1.81,1.9,1.96,2.52,-0.234,-0.15
MSRB2,1.46,1.34,1.3,1.5,-0.159,-0.15
ADPGK,1.98,1.93,2.15,2.57,-0.237,-0.15
NOXRED1,0.997,0.96,0.778,1.1,-0.181,-0.15
FAM162A,2.13,1.88,2.34,2.59,-0.249,-0.15
ATG4C,2.67,2.79,2.83,3.43,-0.235,-0.15
KLHL35,0.88,0.712,0.888,1.11,-0.193,-0.15
ARHGEF2,2.57,2.25,3.35,3.83,-0.402,-0.15
RARA,1.34,1.05,1.69,1.99,-0.287,-0.15
FAM208A,4.38,4.37,4.55,5.01,-0.235,-0.15
MLST8,0.836,0.736,0.739,0.967,-0.164,-0.15
ZNF670-ZNF695,0.875,0.73,1.04,1.36,-0.235,-0.15
LOC105376917,0.526,0.208,0.161,0.218,-0.188,-0.15
LOC100132891,7.08,5.67,7.59,6.92,-0.371,-0.15
DCTN1-AS1,0.456,0.328,0.412,0.64,-0.178,-0.15
CXXC1,0.542,0.47,0.658,1.03,-0.221,-0.15
MAPKAPK2,0.929,1.02,0.821,1.34,-0.214,-0.15
POU3F1,0.229,0.137,0.278,0.591,-0.203,-0.15
C21orf2,1.19,1.01,1.39,1.68,-0.242,-0.15
RFPL2,0.954,1.67,1.05,2.54,-0.383,-0.15
MAVS,1.92,2.07,2.48,3.3,-0.339,-0.15
SNRPC,1.2,0.749,1.16,1.11,-0.203,-0.15
DPM3,1.81,1.04,1.13,0.873,-0.259,-0.15
LOC105373486,0.56,0.319,0.122,0.281,-0.2,-0.15
CHODL,3.13,2.27,3.34,3.03,-0.273,-0.15
RAVER1,0.789,0.887,0.726,1.26,-0.216,-0.15
DNAJA4,1.57,1.41,1.69,1.98,-0.222,-0.149
TMA7,2.16,1.37,1.61,1.34,-0.262,-0.149
RPL35,1.36,0.686,1.23,1.04,-0.24,-0.149
EDC3,2.3,2.29,2.47,2.92,-0.232,-0.149
KCNV2,1.52,1.39,0.575,1.02,-0.287,-0.149
LOC105374567,1.97,2.34,1.83,2.77,-0.286,-0.149
LOC105376043,0.352,0.357,0.32,0.705,-0.19,-0.149
VPRBP,2.59,2.81,2.49,3.21,-0.248,-0.149
UROD,0.696,0.486,0.582,0.691,-0.159,-0.149
INPP4A,7.29,7.07,7.57,7.87,-0.262,-0.149
LOC105376590,0.661,0.419,0.579,0.67,-0.166,-0.149
LOC100506944,0.918,0.453,0.552,0.493,-0.204,-0.149
ZNF676,2.95,1.61,1.04,0.61,-0.454,-0.149
LY6H,4.78,4.03,4.48,4.23,-0.254,-0.148
LINC01000,1.94,2.44,1.98,3.11,-0.319,-0.148
VAC14,1.93,2.25,2.67,3.76,-0.385,-0.148
SEC16A,2.18,2.35,2.39,3.06,-0.245,-0.148
KLHL26,0.477,0.337,0.527,0.788,-0.201,-0.148
KAT8,1.76,1.9,1.89,2.48,-0.225,-0.148
CMBL,0.679,0.654,0.77,1.17,-0.211,-0.148
ARFGAP2,1.73,1.76,2,2.55,-0.26,-0.148
GLIPR1L2,0.356,0.649,0.437,1.26,-0.265,-0.148
LINC00534,2.14,1.77,1.91,1.92,-0.186,-0.148
SLC14A2,2.17,1.49,1.8,1.6,-0.24,-0.148
IKBKAP,3.08,3.1,3.49,4.11,-0.296,-0.148
ANKAR,4.11,4.15,3.98,4.41,-0.197,-0.148
NTRK1,0.23,0.151,0.151,0.403,-0.166,-0.148
MPZL1,2.7,2.54,3.22,3.7,-0.323,-0.148
EFCAB12,0.408,0.378,0.441,0.8,-0.195,-0.148
LOC105375352,0.729,0.894,0.825,1.45,-0.23,-0.147
MYL6B,1.95,1.62,2.15,2.3,-0.24,-0.147
ZNF488,1.4,0.607,1.71,1.45,-0.267,-0.147
LOC105372793,0.373,0.307,0.357,0.655,-0.182,-0.147
FANCE,0.406,0.109,0.228,0.278,-0.173,-0.147
CALM3,3.46,2.3,3.63,3.11,-0.321,-0.147
RPAIN,2.8,2.79,2.81,3.16,-0.186,-0.147
VPS52,1.32,1.34,1.27,1.67,-0.19,-0.147
LOC101929095,3.85,3.14,3.26,3.03,-0.244,-0.147
LOC105375677,1.89,1.35,2.7,2.95,-0.398,-0.147
BRD7,2.02,1.61,2.08,2.07,-0.201,-0.147
INSR,4.75,5.21,5.15,6.22,-0.306,-0.147
ILVBL,0.521,0.328,0.437,0.571,-0.163,-0.147
LOC101927487,2.53,2.14,1.54,1.73,-0.291,-0.147
MAP2K2,1.73,1.51,2.22,2.64,-0.315,-0.147
SLC9A6,3.63,3.65,3.68,4.1,-0.2,-0.147
VARS2,0.618,0.708,0.85,1.43,-0.246,-0.147
LOC102467080,0.822,0.893,0.528,1,-0.203,-0.147
GPS1,0.679,0.624,0.79,1.16,-0.214,-0.147
VEPH1,0.991,0.69,0.63,0.696,-0.183,-0.146
SLC22A15,3.8,3.23,4.59,4.8,-0.391,-0.146
LOC105379049,0.494,0.422,0.398,0.658,-0.166,-0.146
LOC105371750,0.55,0.551,0.532,0.903,-0.185,-0.146
FAM98A,2.41,1.83,2.44,2.3,-0.222,-0.146
TNFSF4,0.739,0.801,0.616,1.08,-0.2,-0.146
CLEC2L,2.86,3.65,3.06,4.63,-0.389,-0.146
WDR78,2.81,3.13,3.02,3.86,-0.265,-0.146
ARMCX4,3.58,3.48,3.61,3.9,-0.192,-0.146
AZIN2,2.27,2.33,2.43,2.94,-0.225,-0.146
CLUH,0.941,1.16,1.09,1.78,-0.24,-0.146
KIT,0.533,0.179,0.264,0.273,-0.181,-0.146
LINC00882,3.5,2.7,3.91,3.69,-0.29,-0.146
TEAD4,0.294,0.286,0.254,0.61,-0.182,-0.146
LOC728730,6.54,6.81,6.06,6.84,-0.253,-0.146
LOC105378058,0.609,0.395,0.626,0.788,-0.188,-0.146
LOC105371864,0.202,0.269,0.123,0.591,-0.201,-0.146
LOC101929356,1.3,1.01,1.84,2.2,-0.323,-0.146
BAG2,1.03,1.04,1.06,1.45,-0.191,-0.146
PANK2,3.9,3.77,4.08,4.41,-0.23,-0.145
DNMT1,1.38,1.58,1.42,2.1,-0.236,-0.145
GABARAPL2,2.87,1.59,2.6,1.99,-0.34,-0.145
SPATA22,0.609,0.566,0.552,0.852,-0.172,-0.145
LOC105370778,0.411,0.339,0.485,0.816,-0.202,-0.145
ZNF544,3.02,3,3.26,3.73,-0.246,-0.145
ANKRD36BP1,2.65,1.59,2.23,1.77,-0.302,-0.145
MCAT,0.786,0.751,0.771,1.09,-0.179,-0.145
ZMAT2,0.898,0.666,0.788,0.876,-0.16,-0.145
MCTP1,10.1,9.97,9.61,9.91,-0.2,-0.145
CIB1,1.47,1.24,1.48,1.61,-0.184,-0.145
NCKAP5L,1.11,1.12,1.55,2.14,-0.295,-0.145
LOC100505851,1.04,0.902,0.505,0.786,-0.212,-0.145
PPP2R2C,6.32,5.95,7.09,7.47,-0.379,-0.145
CAPNS1,1.14,0.983,1.19,1.42,-0.194,-0.145
LY6E,2.01,1.05,1.65,1.26,-0.283,-0.145
PXMP4,1.04,0.982,1.34,1.8,-0.258,-0.144
NPAS3,5.54,7.19,4.62,7.48,-0.605,-0.144
CCL5,0.358,0.192,0.268,0.419,-0.158,-0.144
CYB5B,3.56,2.83,4.22,4.19,-0.351,-0.144
MRPL4,1.48,1.18,1.55,1.65,-0.2,-0.144
KCNIP4,13.4,12.6,13.5,13.2,-0.251,-0.144
STYX,0.846,0.705,0.889,1.13,-0.192,-0.144
C1orf35,1.02,0.578,1.1,1.05,-0.2,-0.144
SNRPD2,1.15,0.827,0.94,0.965,-0.175,-0.144
RFNG,1.24,0.933,1.48,1.66,-0.242,-0.144
NPIPB9,0.248,0.239,0.201,0.548,-0.178,-0.144
TSPAN17,0.918,0.733,1.44,1.89,-0.315,-0.144
DPYSL3,0.65,0.489,0.602,0.777,-0.168,-0.144
DUSP1,0.522,0.367,0.408,0.556,-0.152,-0.144
PRDM11,1.52,1.65,1.77,2.38,-0.243,-0.144
LOC105374795,0.241,0.158,0.253,0.538,-0.184,-0.144
LOC105369503,1.05,0.767,1.38,1.62,-0.264,-0.144
BCCIP,2.38,2.29,2.5,2.84,-0.213,-0.144
ATP2A1,0.673,0.517,0.429,0.595,-0.161,-0.144
MYH15,1.46,1.27,1.45,1.61,-0.178,-0.144
NAA60,3.14,3.36,3.76,4.66,-0.339,-0.144
ZNF320,1.6,1.71,1.88,2.49,-0.252,-0.144
LOC105378015,0.732,0.264,0.478,0.407,-0.199,-0.144
TXNRD2,1.63,1.7,1.84,2.38,-0.233,-0.144
SLAIN1,4.68,4.74,4.84,5.33,-0.219,-0.144
AAMP,1.09,0.974,1.18,1.47,-0.203,-0.144
HERC1,8.29,8.12,8.26,8.42,-0.171,-0.144
ARC,0.785,0.312,0.743,0.668,-0.199,-0.144
ERI3,3.8,4.04,4.48,5.43,-0.354,-0.143
KCNJ6,8.47,8.51,8.59,9.05,-0.211,-0.143
CCDC151,0.268,0.256,0.268,0.616,-0.18,-0.143
SMC4,0.699,0.568,0.58,0.748,-0.15,-0.143
TFAP2E,2.11,2.82,1.99,3.43,-0.362,-0.143
KIAA1257,3.46,4.34,2.82,4.5,-0.403,-0.143
SMYD5,0.689,0.574,0.686,0.93,-0.179,-0.143
TMEM53,1.01,0.909,1.12,1.45,-0.209,-0.143
CAMTA2,1.61,1.95,1.95,2.82,-0.267,-0.143
LOC105370777,0.302,0.18,0.309,0.549,-0.181,-0.143
LOC105375062,2.97,3.28,3.3,4.13,-0.263,-0.143
LOC101928981,2.07,2.29,1.73,2.41,-0.234,-0.143
GRIN2A,10.4,10.3,10.2,10.4,-0.159,-0.143
CD81,1.46,0.798,1.23,1.03,-0.231,-0.143
HEATR9,0.611,0.43,0.51,0.636,-0.154,-0.143
RPL35A,2.45,1.36,2.26,1.77,-0.303,-0.143
NFYC,2.29,2.41,2.65,3.3,-0.269,-0.143
CACNG2,4.53,4.5,5.34,6.07,-0.383,-0.143
COQ4,4.15,4.08,4.22,4.54,-0.196,-0.143
PLCD4,0.631,0.667,0.587,0.998,-0.188,-0.143
ADSL,1.53,1.68,1.73,2.32,-0.228,-0.143
LOC101929200,0.998,0.736,1.12,1.27,-0.208,-0.143
GPT2,1.57,1.64,2.08,2.76,-0.307,-0.143
ECE2,3.22,2.16,4.34,4.2,-0.461,-0.143
PTBP1,1.43,1.47,1.54,2,-0.208,-0.142
DTX2,0.463,0.647,0.461,1.1,-0.225,-0.142
PXK,3.24,3.55,3.56,4.38,-0.258,-0.142
ULK1,3.56,3.52,4.18,4.8,-0.334,-0.142
LOC105375960,0.535,0.409,0.642,0.926,-0.205,-0.142
LOC105378007,0.407,0.373,0.446,0.788,-0.188,-0.142
TUBGCP5,3.7,3.11,3.28,3.12,-0.216,-0.142
SAYSD1,0.509,0.318,0.523,0.694,-0.181,-0.142
MT1X,1.38,0.887,0.615,0.617,-0.246,-0.142
SMARCA4,3.67,3.98,4.48,5.55,-0.381,-0.142
WDR92,2.1,1.93,2.32,2.62,-0.234,-0.142
ATAD3A,1.33,1.34,1.65,2.18,-0.258,-0.142
CACNA1B,8.97,8.83,9.28,9.65,-0.255,-0.142
RFTN1,2.5,3.68,2.14,4.27,-0.475,-0.142
GOSR2,2.6,2.56,3.03,3.56,-0.286,-0.142
RNF123,1.55,1.43,1.82,2.2,-0.247,-0.142
DMWD,1.15,1.37,1.68,2.53,-0.311,-0.142
HELQ,1.73,1.91,1.54,2.17,-0.224,-0.142
PKD1L2,1.01,0.737,0.746,0.802,-0.163,-0.142
CYB5D1,0.749,0.718,0.863,1.24,-0.206,-0.142
RSL24D1,1.07,0.567,0.969,0.87,-0.202,-0.142
MSH2,4.76,4.64,4.85,5.13,-0.199,-0.142
HPS1,1.03,1.03,1.19,1.63,-0.218,-0.142
MTA1,2.11,2.32,2.77,3.67,-0.342,-0.141
LOC105372778,1.87,1.66,2.25,2.57,-0.27,-0.141
C16orf62,4.77,4.87,5.03,5.6,-0.24,-0.141
LOC102724691,0.839,0.462,0.788,0.772,-0.181,-0.141
ATXN3,4.17,4.15,4.39,4.83,-0.231,-0.141
NMT2,3.33,2.94,3.91,4.17,-0.321,-0.141
RALBP1,2.09,2.36,2.17,2.92,-0.242,-0.141
OPALIN,0.453,0.189,0.307,0.365,-0.162,-0.141
BCL7A,1.41,1.99,1.6,2.82,-0.32,-0.141
JAKMIP2,8.21,8,8.15,8.26,-0.16,-0.141
RAB6C-AS1,0.684,0.522,0.691,0.884,-0.177,-0.141
RCC1,0.449,0.549,0.648,1.2,-0.225,-0.141
PTOV1,1.6,1.54,1.91,2.34,-0.251,-0.141
C15orf61,1.27,0.765,1.18,1.08,-0.201,-0.141
ANKFN1,4.38,4.17,4.29,4.39,-0.154,-0.141
MBD4,2.33,1.9,2.51,2.52,-0.221,-0.141
ITGA3,1.98,2.14,2.47,3.23,-0.297,-0.141
LOC105378912,1.48,1.98,1.65,2.76,-0.3,-0.14
RPS28,1.39,0.706,0.878,0.655,-0.23,-0.14
LOC101928885,0.431,0.228,0.245,0.343,-0.151,-0.14
SREK1IP1,3.06,2.81,3.06,3.17,-0.175,-0.14
PIGP,0.521,0.356,0.43,0.568,-0.152,-0.14
INTS10,5.16,5.09,5.27,5.61,-0.203,-0.14
MAGI2,10.3,10.4,9.9,10.4,-0.202,-0.14
RPIA,1.66,1.4,1.8,1.96,-0.209,-0.14
GTF2H5,1.34,1.13,1.32,1.44,-0.168,-0.14
SYNGR2,0.342,0.197,0.248,0.406,-0.151,-0.14
DDX51,1.05,1.41,1.47,2.39,-0.279,-0.14
FAM84B,0.388,0.411,0.192,0.574,-0.18,-0.14
PRRG3,0.989,0.877,1.03,1.29,-0.184,-0.14
FNDC3B,6.32,6.76,5.8,6.8,-0.282,-0.14
DNAJC5G,1.58,1.18,2.14,2.36,-0.312,-0.14
WDR4,0.928,1.05,0.966,1.5,-0.205,-0.14
TSPYL2,4.24,4.47,4.29,5,-0.233,-0.14
STMN3,2.24,2.12,2.7,3.16,-0.287,-0.14
SHPRH,6.58,6.43,6.53,6.71,-0.162,-0.14
NKAIN1,2.06,1.65,3.2,3.71,-0.456,-0.14
SEH1L,1.82,1.79,1.76,2.06,-0.166,-0.14
RAF1,4.34,4.57,4.68,5.43,-0.259,-0.14
ZNF771,1.11,0.964,1.36,1.69,-0.235,-0.139
SYNPO2,0.645,0.359,0.616,0.663,-0.167,-0.139
CHID1,0.937,1.08,1.33,2.02,-0.271,-0.139
PDE8B,8.32,8.05,8.1,8.14,-0.162,-0.139
NOSTRIN,0.754,0.677,0.458,0.712,-0.165,-0.139
KIAA1671,3.48,4.31,3.5,5.09,-0.377,-0.139
LOC101927237,0.268,0.148,0.148,0.315,-0.144,-0.139
TGOLN2,2.03,1.49,2.25,2.16,-0.226,-0.139
KLHL12,1.51,1.44,1.53,1.82,-0.179,-0.139
DUSP19,1.77,1.14,1.98,1.8,-0.225,-0.139
FGF17,0.628,0.528,0.669,0.937,-0.183,-0.139
LOC101927550,2.41,2.65,2.32,3.02,-0.231,-0.139
RAD54L,0.417,0.308,0.233,0.418,-0.147,-0.139
HPX,0.206,0.118,0.188,0.438,-0.169,-0.139
ARF5,2.6,1.39,2.38,1.8,-0.315,-0.139
SPATA9,0.466,0.313,0.314,0.444,-0.141,-0.139
MORC1,0.366,0.127,0.156,0.228,-0.155,-0.139
LOC101928421,0.539,0.486,0.521,0.804,-0.168,-0.139
LOC105375650,1.31,1.19,1.55,1.9,-0.231,-0.139
TRADD,0.463,0.245,0.399,0.495,-0.157,-0.139
HTR4,6.55,6.69,6.15,6.71,-0.208,-0.139
GFRA2,3.08,2.59,4.68,5.32,-0.562,-0.139
VPS51,2.27,2.36,2.66,3.3,-0.269,-0.139
UQCR11,2.18,1.54,1.93,1.73,-0.221,-0.139
PSAP,4.4,3.99,4.63,4.68,-0.229,-0.139
FADS1,1.42,1.06,1.81,1.98,-0.266,-0.138
DUOXA1,0.264,0.289,0.19,0.571,-0.178,-0.138
FERMT1,0.747,0.444,0.95,1.09,-0.221,-0.138
ZNF808,1.86,1.7,2.35,2.78,-0.292,-0.138
RHOBTB2,1.97,1.99,2.51,3.13,-0.303,-0.138
AK6,1.53,1.37,1.6,1.8,-0.187,-0.138
MPP5,3.57,3.6,2.9,3.39,-0.224,-0.138
CCDC34,0.749,0.523,0.862,1.03,-0.199,-0.138
LINC01285,1.38,1.28,1.41,1.67,-0.178,-0.138
NELL1,1.64,1.7,1.44,1.86,-0.185,-0.138
ZNF362,1.82,1.93,2.28,2.95,-0.282,-0.138
LMBR1L,1.67,1.84,2.08,2.79,-0.27,-0.138
LOC105377745,1.4,0.71,0.913,0.68,-0.227,-0.138
RSAD1,1.82,1.98,2.02,2.63,-0.22,-0.138
ACAP2,7.93,8.09,7.43,8,-0.207,-0.138
ARHGAP4,0.557,0.335,0.538,0.648,-0.166,-0.137
GNRH1,0.276,0.215,0.221,0.476,-0.158,-0.137
SPTBN1,7.68,7.4,7.89,8.07,-0.223,-0.137
FAXDC2,2.64,2.39,2.1,2.25,-0.203,-0.137
RHOU,2.78,2.41,3.5,3.81,-0.343,-0.137
TRMT2B,2.1,2.22,2.26,2.79,-0.208,-0.137
DUT,1.27,0.975,1.43,1.55,-0.209,-0.137
HIBCH,3.69,3.3,4.22,4.43,-0.299,-0.137
RGL2,0.614,0.703,0.642,1.11,-0.192,-0.137
GNAQ,9.03,8.74,8.8,8.83,-0.163,-0.137
RAB3A,0.999,0.676,0.94,0.952,-0.167,-0.137
CAMSAP3,0.847,1.02,1.12,1.76,-0.237,-0.137
LOC105377056,1.04,0.72,0.667,0.695,-0.176,-0.137
ZCCHC7,7.39,7.48,7.2,7.67,-0.191,-0.137
CC2D1B,0.63,0.616,0.542,0.86,-0.166,-0.137
SUGT1,1.61,1.56,1.76,2.12,-0.205,-0.137
CACUL1,5.06,5.01,5.22,5.58,-0.207,-0.137
INTS7,2.32,2.57,2.52,3.23,-0.229,-0.136
LOC100507291,5.4,5.14,5.44,5.54,-0.179,-0.136
GLS2,2.9,3.18,2.84,3.58,-0.235,-0.136
PEX16,0.992,0.868,0.911,1.08,-0.149,-0.136
SLC45A2,0.423,0.172,0.26,0.318,-0.155,-0.136
VRK1,1.94,2.06,1.88,2.39,-0.196,-0.136
C11orf54,2.83,2.8,2.82,3.13,-0.168,-0.136
RIPK2,1.02,0.801,1.28,1.52,-0.23,-0.136
ECHDC2,2.42,2.28,2.72,3.06,-0.24,-0.136
LOC101929004,0.611,0.463,0.516,0.66,-0.146,-0.136
KCNJ9,1.27,0.907,1.78,1.99,-0.289,-0.136
PPP3CA,10.2,9.88,9.85,9.84,-0.176,-0.136
STYK1,0.917,0.981,1.26,1.82,-0.249,-0.136
DVL1,0.88,0.891,0.949,1.33,-0.184,-0.136
PAG1,3.14,3.1,3.55,4.03,-0.264,-0.136
LOC105378531,2.95,2.37,3.48,3.48,-0.292,-0.135
USP2-AS1,1.96,1.73,2,2.13,-0.177,-0.135
LAT,0.471,0.426,0.465,0.752,-0.166,-0.135
SST,0.432,0.141,0.344,0.374,-0.16,-0.135
TEX9,3.16,3.17,3,3.36,-0.171,-0.135
ZNF782,6.45,6.62,6.55,7.13,-0.207,-0.135
GTF2H3,2.45,2.34,2.71,3.06,-0.229,-0.135
EPHA3,1.04,1.11,0.815,1.25,-0.183,-0.135
RCC2,1.95,2.26,2,2.8,-0.241,-0.135
LOC100506901,1.3,1.21,1.38,1.66,-0.186,-0.135
GTF2H2C,0.657,0.718,0.608,1.03,-0.182,-0.135
